date,predicted_Usage_kWh,month,hour
2019-01-01 00:00:00,4.684085845947266,1,0
2019-01-01 00:15:00,6.0131330490112305,1,0
2019-01-01 00:30:00,6.214332103729248,1,0
2019-01-01 00:45:00,6.461307048797607,1,0
2019-01-01 01:00:00,8.087850570678711,1,1
2019-01-01 01:15:00,7.8901543617248535,1,1
2019-01-01 01:30:00,8.218631744384766,1,1
2019-01-01 01:45:00,7.163084983825684,1,1
2019-01-01 02:00:00,8.233811378479004,1,2
2019-01-01 02:15:00,6.991182804107666,1,2
2019-01-01 02:30:00,5.523458003997803,1,2
2019-01-01 02:45:00,5.233680248260498,1,2
2019-01-01 03:00:00,6.350592613220215,1,3
2019-01-01 03:15:00,5.608945369720459,1,3
2019-01-01 03:30:00,4.9479827880859375,1,3
2019-01-01 03:45:00,4.59427547454834,1,3
2019-01-01 04:00:00,4.775636196136475,1,4
2019-01-01 04:15:00,4.580141544342041,1,4
2019-01-01 04:30:00,4.554784297943115,1,4
2019-01-01 04:45:00,4.489583969116211,1,4
2019-01-01 05:00:00,4.570798873901367,1,5
2019-01-01 05:15:00,4.481256484985352,1,5
2019-01-01 05:30:00,4.455900192260742,1,5
2019-01-01 05:45:00,4.489583969116211,1,5
2019-01-01 06:00:00,4.5950541496276855,1,6
2019-01-01 06:15:00,4.44912576675415,1,6
2019-01-01 06:30:00,4.32170295715332,1,6
2019-01-01 06:45:00,4.346533298492432,1,6
2019-01-01 07:00:00,4.710396766662598,1,7
2019-01-01 07:15:00,4.667922496795654,1,7
2019-01-01 07:30:00,5.148202896118164,1,7
2019-01-01 07:45:00,6.031717300415039,1,7
2019-01-01 08:00:00,28.35822868347168,1,8
2019-01-01 08:15:00,24.201454162597656,1,8
2019-01-01 08:30:00,18.303831100463867,1,8
2019-01-01 08:45:00,18.47715950012207,1,8
2019-01-01 09:00:00,23.810396194458008,1,9
2019-01-01 09:15:00,17.970624923706055,1,9
2019-01-01 09:30:00,17.177154541015625,1,9
2019-01-01 09:45:00,17.698461532592773,1,9
2019-01-01 10:00:00,23.380165100097656,1,10
2019-01-01 10:15:00,22.247920989990234,1,10
2019-01-01 10:30:00,23.69980812072754,1,10
2019-01-01 10:45:00,23.02297019958496,1,10
2019-01-01 11:00:00,21.283527374267578,1,11
2019-01-01 11:15:00,19.54291343688965,1,11
2019-01-01 11:30:00,18.239215850830078,1,11
2019-01-01 11:45:00,17.18431282043457,1,11
2019-01-01 12:00:00,17.619470596313477,1,12
2019-01-01 12:15:00,14.164429664611816,1,12
2019-01-01 12:30:00,15.271990776062012,1,12
2019-01-01 12:45:00,14.945460319519043,1,12
2019-01-01 13:00:00,24.209959030151367,1,13
2019-01-01 13:15:00,24.28352165222168,1,13
2019-01-01 13:30:00,23.394254684448242,1,13
2019-01-01 13:45:00,23.63677978515625,1,13
2019-01-01 14:00:00,22.815654754638672,1,14
2019-01-01 14:15:00,22.16041374206543,1,14
2019-01-01 14:30:00,23.021987915039062,1,14
2019-01-01 14:45:00,21.897968292236328,1,14
2019-01-01 15:00:00,22.89325714111328,1,15
2019-01-01 15:15:00,21.778291702270508,1,15
2019-01-01 15:30:00,22.10527229309082,1,15
2019-01-01 15:45:00,22.93564796447754,1,15
2019-01-01 16:00:00,20.924694061279297,1,16
2019-01-01 16:15:00,9.293618202209473,1,16
2019-01-01 16:30:00,8.586277961730957,1,16
2019-01-01 16:45:00,8.586020469665527,1,16
2019-01-01 17:00:00,9.06546401977539,1,17
2019-01-01 17:15:00,8.599743843078613,1,17
2019-01-01 17:30:00,5.641695976257324,1,17
2019-01-01 17:45:00,6.36051607131958,1,17
2019-01-01 18:00:00,3.5156235694885254,1,18
2019-01-01 18:15:00,4.796492099761963,1,18
2019-01-01 18:30:00,4.17946720123291,1,18
2019-01-01 18:45:00,5.141027450561523,1,18
2019-01-01 19:00:00,6.466671466827393,1,19
2019-01-01 19:15:00,7.802868366241455,1,19
2019-01-01 19:30:00,10.762956619262695,1,19
2019-01-01 19:45:00,9.9899263381958,1,19
2019-01-01 20:00:00,12.614523887634277,1,20
2019-01-01 20:15:00,11.222984313964844,1,20
2019-01-01 20:30:00,9.244550704956055,1,20
2019-01-01 20:45:00,7.015324115753174,1,20
2019-01-01 21:00:00,6.258847713470459,1,21
2019-01-01 21:15:00,6.134078025817871,1,21
2019-01-01 21:30:00,5.834322452545166,1,21
2019-01-01 21:45:00,5.7842817306518555,1,21
2019-01-01 22:00:00,5.841909885406494,1,22
2019-01-01 22:15:00,5.675868034362793,1,22
2019-01-01 22:30:00,5.386929988861084,1,22
2019-01-01 22:45:00,5.0963335037231445,1,22
2019-01-01 23:00:00,5.0907769203186035,1,23
2019-01-01 23:15:00,4.988485813140869,1,23
2019-01-01 23:30:00,5.3275651931762695,1,23
2019-01-01 23:45:00,7.450747489929199,1,23
2019-01-02 00:00:00,13.181057929992676,1,0
2019-01-02 00:15:00,8.241044998168945,1,0
2019-01-02 00:30:00,7.853035926818848,1,0
2019-01-02 00:45:00,7.041004657745361,1,0
2019-01-02 01:00:00,7.587990760803223,1,1
2019-01-02 01:15:00,6.916229724884033,1,1
